		pH	SOC	TN	AN	TP	AP	TK	AK	Shannon	Chao 1
CK	Node	-0.089	0.036	0.048	-0.623	0.501	0.545	0.22	0.406	0.073	0.136
CK	Edge	0.004	0.154	-0.044	-0.446	0.373	0.492	0.178	0.333	-0.11	0.223
CK	Diameter	0.496	-0.114	0.224	0.663	-0.445	-0.057	-0.319	-0.616	-0.202	-0.143
CK	Density	-0.277	0.105	0.029	-0.15	0.189	-0.196	0.033	0.046	-0.05	-0.202
CK	avg K	0.012	0.21	-0.021	-0.41	0.369	0.478	0.204	0.2763	-0.157	0.197
CK	avg CC	-0.304	0.299	-0.057	-0.496	0.346	-0.092	0.12	0.458	0.057	-0.029
CK	Modularity	0.349	0.018	0.349	0.719***	-0.451*	-0.215	-0.359	-0.657***	-0.232	-0.404
CK	NPE	-0.502**	-0.315	-0.067	-0.666***	0.285	0.302	0.362	0.304	0.666	0.216
CK	NPC	0.602**	0.136	0.098	0.521**	-0.265	0.03	-0.488*	-0.233	-0.235	-0.172
N	Node	0.23	0.208	0.436	0.453	-0.199	0.158	0.195	-0.004	-0.304	-0.251
N	Edge	0.292	-0.052	0.451	0.352	0.018	0.162	0.339	0.005	-0.335	-0.512
N	Diameter	0.105	0.441	-0.146	0.247	0.105	0.186	-0.023	0.201	0.159	0.118
N	Density	-0.203	-0.561	0.201	-0.221	-0.028	0.006	0.297	-0.207	-0.111	-0.12
N	avg K	0.276	0.151	0.39	0.297	-0.015	0.337	0.251	0.358	-0.245	-0.308
N	avg CC	-0.199	-0.353	0.199	-0.114	-0.001	0.073	0.29	-0.25	-0.078	-0.063
N	Modularity	0.057	-0.074	-0.379	0.242	-0.301	0.101	0.031	0.128	0.076	0.442
N	NPE	-0.552**	0.177	0.236	-0.393*	0.548**	0.437*	0.144	0.374	0.552	0.523
N	NPC	-0.594**	0.035	-0.086	-0.064	0.441*	0.456*	-0.15	0.442*	0.238	0.397
NS	Node	-0.233	0.819	0.373	-0.69	0.803	0.795	0.411	0.808	0.546	0.735
NS	Edge	0.028	0.697	0.064	-0.366	0.497	0.374	0.21	0.536	0.424	0.468
NS	Diameter	-0.295	0.491	0.181	-0.61	0.686	0.765	0.123	0.68	0.653	0.725
NS	Density	-0.402	0.649	0.086	-0.443	0.674	0.449	0.483	0.85	0.6223	0.699
NS	avg K	0.236	-0.197	-0.317	0.471	-0.355	-0.486	-0.202	-0.282	-0.153	-0.285
NS	avg CC	-0.335	0.483	0.005	-0.656	0.676	0.602	0.307	0.631	0.62	0.657
NS	Modularity	-0.349	0.08	-0.094	-0.3	0.343	0.475*	-0.046	0.410*	0.561	0.514
NS	NPE	-0.15	0.246	0.168	-0.179	0.121	0.338	0.2	0.379	0.378	0.097
NS	NPC	-0.333	0.497*	0.315	-0.229	0.823***	0.769***	0.082	0.642***	0.45	0.879
NSM	Node	-0.586	0.546	0.234	-0.489	0.367	0.312	0.341	0.472	0.645	0.386
NSM	Edge	-0.51	0.626	0.376	-0.541	0.484	0.453	0.501	0.647	0.734	0.484
NSM	Diameter	-0.249	0.125	-0.197	-0.298	-0.111	-0.292	0.086	-0.067	0.401	0.155
NSM	Density	0.093	0.512	0.196	-0.218	0.23	0.24	0.194	0.407	0.324	0.488
NSM	avg K	-0.331	0.495	0.354	-0.369	0.372	0.359	0.467	0.539	0.568	0.366
NSM	avg CC	-0.304	0.054	0.291	-0.084	0.425	0.496	0.181	0.403	0.107	0.298
NSM	Modularity	-0.571**	0.29	0.097	-0.244	0.239	0.274	0.244	0.423*	0.245	0.281
NSM	NPE	-0.222	0.473*	0.589**	0.017	0.445*	0.339	0.158	0.327	0.504	0.537
NSM	NPC	-0.460*	0.405*	0.601**	-0.139	0.785***	0.814***	0.087	0.577**	0.344	0.516
NB	Node	-0.225	0.484	0.598	-0.861	0.671	0.585	0.428	0.557	0.519	0.678
NB	Edge	-0.154	0.602	0.503	-0.363	0.526	0.806	0.128	0.679	0.488	0.726
NB	Diameter	-0.046	0.294	0.206	-0.319	0.259	0.134	0.506	0.218	0.176	0.194
NB	Density	-0.092	0.337	0.36	0.047	0.409	0.393	0.315	0.535	0.268	0.508
NB	avg K	0.09	0.213	0.202	0.406	0.043	0.318	-0.24	0.225	0.099	0.204
NB	avg CC	-0.053	0.228	0.221	-0.452	0.342	0.604	0.307	0.504	0.192	0.454
NB	Modularity	-0.241	0.089	0.131	-0.283	0.232	0.390*	0.572**	0.382	0.044	0.337
NB	NPE	-0.121	0.788***	0.595**	-0.430*	0.638***	0.592**	-0.195	0.233	0.679	0.637
NB	NPC	-0.435*	0.413*	0.513*	-0.259	0.534**	0.580**	0.469*	0.641***	0.454	0.763
