0-1yr	X	CK	X	N	X	NS	X	NSM	X	NB	2-3yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB
	0.002096	0.219463	0.002457	0.140533	0.002551	0.338065	0.003436	0.563585	0.003774	0.161234		0.002315	0.242826	0.003289	0.392296	0.00125	0.211752	0.001616	0.871685	0.001709	0.329271		0.004329	0.10573	0.00137	0.239409	0.001938	0.613922	0.001531	0.516575	0.001364	0.279926		0.006494	0.184088	0.001346	0.295224	0.001855	0.633101	0.001318	0.472623	0.001305	0.345426
	0.004193	0.219758	0.004914	0.14089	0.005102	0.338932	0.006873	0.560603	0.007547	0.161872		0.00463	0.243403	0.006579	0.385018	0.0025	0.211798	0.003231	0.873113	0.003419	0.328799		0.008658	0.10622	0.00274	0.239742	0.003876	0.609654	0.003063	0.513893	0.002729	0.280269		0.012987	0.160257	0.002692	0.295627	0.003711	0.629956	0.002635	0.473252	0.002611	0.345881
	0.006289	0.219693	0.007371	0.14125	0.007653	0.339822	0.010309	0.561671	0.011321	0.162516		0.006944	0.241665	0.009868	0.386329	0.00375	0.208571	0.004847	0.873853	0.005128	0.32922		0.012987	0.106484	0.00411	0.240076	0.005814	0.610861	0.004594	0.514692	0.004093	0.280653		0.019481	0.161372	0.004038	0.29603	0.005566	0.627257	0.003953	0.471657	0.003916	0.34603
	0.008386	0.220165	0.009828	0.141611	0.010204	0.340551	0.013746	0.556585	0.015094	0.163164		0.009259	0.242241	0.013158	0.387648	0.005	0.20842	0.006462	0.874573	0.006838	0.329441		0.017316	0.098658	0.005479	0.240411	0.007752	0.606355	0.006126	0.51516	0.005457	0.278387		0.025974	0.146299	0.005384	0.295956	0.007421	0.628445	0.00527	0.468843	0.005222	0.346458
	0.010482	0.220639	0.012285	0.141974	0.012755	0.341449	0.017182	0.554118	0.018868	0.163744		0.011574	0.242821	0.016447	0.388919	0.00625	0.20866	0.008078	0.871972	0.008547	0.330017		0.021645	0.0947	0.006849	0.240593	0.00969	0.607425	0.007657	0.514203	0.006821	0.278489		0.032468	0.140685	0.006729	0.296216	0.009276	0.629636	0.006588	0.469471	0.006527	0.345786
	0.012579	0.219754	0.014742	0.142339	0.015306	0.340832	0.020619	0.554707	0.022642	0.164403		0.013889	0.243403	0.019737	0.382906	0.0075	0.208926	0.009693	0.87341	0.010256	0.330595		0.025974	0.095142	0.008219	0.240515	0.011628	0.602726	0.009188	0.51488	0.008186	0.278877		0.038961	0.140229	0.008075	0.296183	0.011132	0.630726	0.007905	0.468078	0.007833	0.346246
	0.014675	0.219723	0.017199	0.142705	0.017857	0.338721	0.024055	0.556699	0.026415	0.153317		0.016204	0.24167	0.023026	0.378123	0.00875	0.209186	0.011309	0.874852	0.011966	0.327574		0.030303	0.095343	0.009589	0.240852	0.013566	0.598405	0.01072	0.515677	0.00955	0.27913		0.045455	0.129892	0.009421	0.296582	0.012987	0.631927	0.009223	0.468701	0.009138	0.346707
	0.016771	0.220199	0.019656	0.141549	0.020408	0.333652	0.027491	0.551186	0.030189	0.153762		0.018519	0.242249	0.026316	0.379432	0.01	0.207693	0.012924	0.872386	0.013675	0.324768		0.034632	0.095394	0.010959	0.241189	0.015504	0.599365	0.012251	0.513669	0.010914	0.27952		0.051948	0.130794	0.010767	0.296175	0.014842	0.633133	0.01054	0.466664	0.010444	0.347169
	0.018868	0.214021	0.022113	0.141886	0.022959	0.334494	0.030928	0.548302	0.033962	0.154389		0.020833	0.236338	0.029605	0.371687	0.01125	0.207861	0.01454	0.873832	0.015385	0.32534		0.038961	0.095853	0.012329	0.239561	0.017442	0.594879	0.013783	0.510379	0.012278	0.275632		0.058442	0.13177	0.012113	0.296017	0.016698	0.629521	0.011858	0.467283	0.011749	0.347632
	0.020964	0.213311	0.02457	0.142255	0.02551	0.335367	0.034364	0.541094	0.037736	0.155021		0.023148	0.23691	0.032895	0.372775	0.0125	0.208128	0.016155	0.871903	0.017094	0.325441		0.04329	0.096316	0.013699	0.239895	0.01938	0.590904	0.015314	0.510801	0.013643	0.276018		0.064935	0.12512	0.013459	0.296426	0.018553	0.630726	0.013175	0.467618	0.013055	0.347878
	0.023061	0.213706	0.027027	0.142625	0.028061	0.336265	0.037801	0.535336	0.041509	0.155067		0.025463	0.236583	0.036184	0.374012	0.01375	0.208395	0.017771	0.869497	0.018803	0.326013		0.047619	0.085985	0.015068	0.24008	0.021318	0.58766	0.016845	0.511599	0.015007	0.275773		0.071429	0.121208	0.014805	0.296836	0.020408	0.626854	0.014493	0.468241	0.01436	0.346895
	0.025157	0.214143	0.029484	0.142997	0.030612	0.337169	0.041237	0.528745	0.045283	0.148455		0.027778	0.237158	0.039474	0.368562	0.015	0.208663	0.019386	0.870023	0.020513	0.326219		0.051948	0.076068	0.016438	0.240417	0.023256	0.583447	0.018377	0.512404	0.016371	0.273376		0.077922	0.122112	0.016151	0.296139	0.022263	0.622839	0.01581	0.468874	0.015666	0.345978
	0.027254	0.213374	0.031941	0.143371	0.033163	0.338076	0.044674	0.523243	0.049057	0.149006		0.030093	0.237737	0.042763	0.365349	0.01625	0.208925	0.021002	0.86916	0.022222	0.326663		0.056277	0.07562	0.017808	0.240757	0.025194	0.584615	0.019908	0.513214	0.017735	0.27054		0.084416	0.102316	0.017497	0.296543	0.024119	0.624039	0.017128	0.469294	0.016971	0.346238
	0.02935	0.206831	0.034398	0.143697	0.035714	0.337621	0.04811	0.525178	0.05283	0.149582		0.032407	0.233324	0.046053	0.366485	0.0175	0.209139	0.022617	0.86768	0.023932	0.325532		0.060606	0.075998	0.019178	0.241098	0.027132	0.579807	0.02144	0.510286	0.0191	0.270921		0.090909	0.103121	0.018843	0.29425	0.025974	0.620292	0.018445	0.467878	0.018277	0.346701
	0.031447	0.202427	0.036855	0.144075	0.038265	0.335688	0.051546	0.517104	0.056604	0.141826		0.034722	0.233896	0.049342	0.364296	0.01875	0.209409	0.024233	0.867482	0.025641	0.326111		0.064935	0.076378	0.020548	0.24144	0.02907	0.579976	0.022971	0.511095	0.020464	0.271298		0.097403	0.082028	0.020188	0.294659	0.027829	0.617373	0.019763	0.468512	0.019582	0.346948
	0.033543	0.202838	0.039312	0.144455	0.040816	0.336592	0.054983	0.512327	0.060377	0.14242		0.037037	0.234471	0.052632	0.358794	0.02	0.20968	0.025848	0.86491	0.02735	0.326687		0.069264	0.076762	0.021918	0.241781	0.031008	0.575443	0.024502	0.509055	0.021828	0.271242		0.103896	0.082135	0.021534	0.295069	0.029685	0.613235	0.02108	0.46873	0.020888	0.346252
	0.035639	0.197118	0.041769	0.144837	0.043367	0.337508	0.058419	0.509273	0.064151	0.134544		0.039352	0.232446	0.055921	0.355401	0.02125	0.209883	0.027464	0.862052	0.02906	0.327271		0.073593	0.077039	0.023288	0.240788	0.032946	0.57277	0.026034	0.505688	0.023192	0.271537		0.11039	0.082797	0.02288	0.295481	0.03154	0.609286	0.022398	0.469366	0.022193	0.346719
	0.037736	0.197357	0.044226	0.142182	0.045918	0.338429	0.061856	0.504049	0.067925	0.129004		0.041667	0.226958	0.059211	0.356384	0.0225	0.210097	0.029079	0.859198	0.030769	0.327849		0.077922	0.077423	0.024658	0.241067	0.034884	0.571911	0.027565	0.505393	0.024557	0.271921		0.116883	0.083413	0.024226	0.295893	0.033395	0.606829	0.023715	0.470006	0.023499	0.346073
	0.039832	0.197796	0.046683	0.14256	0.048469	0.339356	0.065292	0.498143	0.071698	0.129555		0.043981	0.221589	0.0625	0.355135	0.02375	0.209894	0.030695	0.860576	0.032479	0.328436		0.082251	0.077798	0.026027	0.239286	0.036822	0.573081	0.029096	0.506199	0.025921	0.272242		0.123377	0.081133	0.025572	0.296307	0.03525	0.604496	0.025033	0.470648	0.024804	0.345874
