ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean	Label
otu3575	k__unidentified	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__SaccharopolysporaerythraeaprophagepSE211	18.16666667	otu3575
otu7460	k__unidentified	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__SaccharopolysporaerythraeaprophagepSE211	12.16666667	otu7460
otu45513	k__unidentified	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__SaccharopolysporaerythraeaprophagepSE211	4.833333333	otu45513
otu30888	k__unidentified	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__SaccharopolysporaerythraeaprophagepSE211	4	otu30888
otu113485	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	9.666666667	otu113485
otu113428	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	7.166666667	otu113428
otu103218	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	13.83333333	otu103218
otu65601	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	3.666666667	otu65601
otu25367	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	328	otu25367
otu93189	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2	otu93189
otu30233	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	107.5	otu30233
otu45772	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	10.16666667	otu45772
otu34673	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	12.33333333	otu34673
otu117836	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	18.83333333	otu117836
otu113581	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	19.33333333	otu113581
otu30300	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	9.166666667	otu30300
otu43405	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	5	otu43405
otu66065	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	4.5	otu66065
otu118010	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	8.833333333	otu118010
otu85392	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	10.33333333	otu85392
otu29954	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	10.83333333	otu29954
otu27713	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	9.5	otu27713
otu123589	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2.666666667	otu123589
otu13107	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	4.166666667	otu13107
otu76822	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	716.6666667	otu76822
otu127097	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	10.66666667	otu127097
otu106740	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	11.33333333	otu106740
otu36721	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	29.83333333	otu36721
otu72011	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	45.83333333	otu72011
otu17487	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	7.333333333	otu17487
otu13655	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	4.5	otu13655
otu78839	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	10	otu78839
otu3350	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2.166666667	otu3350
otu19519	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	6.833333333	otu19519
otu120604	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	1.666666667	otu120604
otu58670	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	6	otu58670
otu64662	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2	otu64662
otu24297	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	3.5	otu24297
otu35241	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2.166666667	otu35241
otu28794	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2.5	otu28794
otu29951	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	3.666666667	otu29951
otu107848	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2	otu107848
otu125182	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	1.833333333	otu125182
otu49606	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	12.66666667	otu49606
otu14620	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2	otu14620
otu81330	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2	otu81330
otu78150	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	1.5	otu78150
otu78644	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2.666666667	otu78644
otu126801	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	7	otu126801
otu56084	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2.5	otu56084
otu8131	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2.666666667	otu8131
otu43600	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	20.66666667	otu43600
otu117632	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned	2.833333333	otu117632
