properties	Shannon	Chao	NPE	TP	AP	pH	SOC	TN	TK	AK	AN	PAC
0CK1	2.917873	588.1409	0.138889	0.218878532	0.226523038	4.94	3.382208813	0.429607588	10.47036082	42.5	42.84	0.103492579
0CK2	2.38652	487.8421	0.186992	0.196517364	0.834849637	4.84	2.468904891	0.360526074	11.01928375	45	32.13	0.424822326
0CK3	2.95521	388.0435	1.079646	0.252441081	0.971586659	4.88	2.444037105	0.376768817	11.07034413	45	28.56	0.384876604
0N1	2.978961	387	0.41502	0.246814794	0.779597225	4.78	2.973030367	0.442076179	13.54386892	55	39.27	0.315863248
0N2	3.107975	388.0435	0.471014	0.200322853	0.675296819	4.78	2.774328729	0.492524186	12.89737869	52.5	28.56	0.337104234
0N3	2.980123	366.9219	0.34749	0.229810518	0.394368735	4.85	1.900009596	0.402800422	11.35718342	40	35.7	0.171606042
0NS1	3.107975	487.8421	0.461538	0.229610281	0.394368735	4.9	2.374131774	0.40536193	12.52783964	47.5	49.98	0.171755695
0NS2	2.656163	413.4483	0.42308	0.238417827	0.327126865	4.82	2.440057271	0.476571886	12.41486947	47.5	35.7	0.137207385
0NS3	2.917873	423.7333	0.92308	0.219781575	0.260023211	4.83	2.982819733	0.414412575	11.91737288	50	46.41	0.118309831
0NSM1	2.656163	487.8421	0.152284	0.247980584	1.769136757	4.9	2.176450802	0.360645992	11.30653266	42.5	42.84	0.713417449
0NSM2	2.626489	388.0435	0.590909	0.21477559	1.528979356	4.86	1.738821158	0.341116751	11.29518072	40	24.99	0.711896243
0NSM3	3.107975	342.6102	0.449495	0.245807672	0.428041679	4.84	2.382077329	0.359971202	12.22493888	42.5	42.84	0.174136826
0NB1	2.38652	342.6102	0.553846	0.216449553	1.167837233	4.8	1.990269792	0.359512091	12.29034124	45	28.56	0.539542455
0NB2	2.980123	366.9219	0.315315	0.252697635	1.00586059	4.8	2.868951128	0.328813921	12.87583519	62.5	49.98	0.398049072
0NB3	3.22294	423.7333	0.448	0.244687409	0.360730488	4.89	2.43421582	0.341263651	11.32532659	45	39.27	0.147425031
1CK1	3.418722	402.827	1.17094	0.23	1.27	4.9	2.621085715	0.505	11.05	45	25.68819435	0.552173913
1CK2	3.486146	389.7093	1.091603	0.26	1.26	4.86	2.6506	0.49	10.38	50	17.80787238	0.484615385
1CK3	3.598921	403.7459	0.992188	0.23	1.33	4.84	2.671987167	0.52	11.19	47.5	20.55930715	0.57826087
1N1	3.029601	446.1064	0.253676	0.26	2.29	4.78	2.830078106	0.4	10.24	45	72.35632576	0.880769231
1N2	2.961233	469.4095	0.625442	0.23	1.46	4.78	2.660712644	0.44	9.89	49	102.5783331	0.634782609
1N3	3.02692	463.6769	0.167286	0.25	2.11	4.85	2.679907886	0.48	10.35	47.5	98.67	0.844
1NS1	3.157446	569.4677	0.9	0.25	1.68	4.9	2.697	0.52	9.67	50	55.05112207	0.672
1NS2	3.492404	486.0084	1.19231	0.26	1.76	4.87	2.728032739	0.53	9.87	70	102.1149393	0.676923077
1NS3	3.446674	522.9394	1.084615	0.24	1.87	4.83	2.653332268	0.5	10.05	55	86.94811821	0.779166667
1NSM1	3.734003	578.0696	1.442623	0.31	1.85	4.94	3.141120049	0.54	10.73	62.5	83.03417808	0.596774194
1NSM2	3.601824	511.5064	1.40113	0.26	1.82	4.88	3.117393614	0.52	11.57	60	88.07647059	0.7
1NSM3	3.143815	506.1987	1.25	0.26	1.8	4.86	3.366027507	0.56	10.92	65	91.61249782	0.692307692
1NB1	3.563841	550.9016	0.939759	0.25	1.94	4.94	4.0252	0.52	10.02	80	59.38513158	0.776
1NB2	3.897883	538.1067	0.856	0.27	2.01	4.89	4.045157375	0.53	10.48	77.5	72.7278186	0.744444444
1NB3	3.37293	434.1579	1	0.25	2.05	4.88	4.031	0.48	10.8	75	47.42301274	0.82
2CK1	2.925682	331.1053	0.793981	0.27	1.84	4.85	3.43922151	0.44	11.59	55	6.681583672	0.681481481
2CK2	3.145369	467.78	1.205543	0.26	1.74	4.67	3.282041515	0.46	13.3	57.5	8.034503497	0.669230769
2CK3	3.678735	633.8524	1.284404	0.26	1.77	4.86	3.06356	0.45	13.33	60	5.096996774	0.680769231
2N1	3.15057	491.6471	0.969014	0.34	1.953	4.68	3.959774926	0.45	12.81	70	4.706571054	0.574411765
2N2	3.925744	405.3457	0.70904	0.28	1.7	4.81	3.58788	0.48	12.85	72.5	5.447300821	0.607142857
2N3	3.964204	400.4615	0.439093	0.29	2.05	4.81	3.772269316	0.51	12.9	77.5	6.14204641	0.706896552
2NS1	3.363269	490.5769	1.383754	0.3	2.66	4.77	4.190929369	0.6	13.61	90	7.641610169	0.886666667
2NS2	3.395875	489.3421	1.501401	0.3	2.19	4.76	3.74448	0.49	13.72	80	11.69368288	0.73
2NS3	3.467394	452.359	1.110169	0.29	2.98	4.85	3.713096464	0.52	11.9666302	87	4.456336401	1.027586207
2NSM1	4.46904	586.0488	0.911738	0.34	4.27	4.83	4.432200047	0.56	12.81163435	90	8.788505415	1.255882353
2NSM2	4.680213	601.791	1.329513	0.31	2.77	4.81	3.87951891	0.55	13.64	87.5	6.571797902	0.893548387
2NSM3	4.747648	614.1009	0.706507	0.31	3.856	4.85	4.381994104	0.49	13.31	87.5	6.343840892	1.243870968
2NB1	4.306269	597.5455	0.876518	0.35	2.69	4.9	4.304029469	0.571017625	11.70798898	99.3	9.487722222	0.768571429
2NB2	4.356017	570.03	0.557576	0.36	2.84	4.83	4.920053409	0.520508671	13.29	97.5	6.573309011	0.788888889
2NB3	4.126141	678.7953	0.589899	0.31	2.73	4.84	4.762210997	0.586437044	13.38	110	7.54609417	0.880645161
3CK1	3.526646	419.2959	1.117647	0.260497628	1.026082264	4.52	2.815761371	0.417969238	10.81564375	57.5	9.865	0.393893131
3CK2	4.294274	360.6155	1.375	0.274583542	0.9584882	4.58	2.471928383	0.404491506	12.54282917	60	9.85	0.349069792
3CK3	4.30794	422.2933	1.464286	0.256521376	1.026082264	4.5	2.115175838	0.448773561	10.89449541	66.66666667	10.06	0.399998737
3N1	4.08004	540.8186	0.565657	0.255146686	1.779308564	4.1	2.798342909	0.45697566	10.74287733	52.5	30.165	0.697366912
3N2	3.883428	560.9067	0.801587	0.279268916	0.924745252	4.12	1.668030578	0.487342886	11.31563066	62.5	22.985	0.331130749
3N3	3.674553	510.1861	0.768421	0.279795067	1.64101759	4.21	1.849123685	0.410607134	10.84629254	60	23.985	0.586506977
3NS1	5.08606	494.8296	1.376238	0.283357693	3.088000907	4.17	1.672844519	0.412458472	10.80914145	70	23.84	1.089788978
3NS2	5.095306	496.5649	1.734043	0.265966936	0.9584882	4.17	1.930319259	0.438206719	11.48947951	72.5	22.165	0.360378705
3NS3	4.987296	506.7374	0.5	0.274511149	1.400453616	4.16	2.028708107	0.449387401	11.02292769	82.5	30.675	0.510162746
3NSM1	5.377008	673.4319	0.911738	0.334879633	2.872068259	4.27	4.157894173	0.484712991	12.21192385	95	17.16	0.857641963
3NSM2	5.196291	622.374	0.907847	0.327072779	2.800417016	4.21	4.487360643	0.494857898	12.59763165	82.5	26.27	0.856206079
3NSM3	5.091485	591.2444	0.913083	0.310536371	2.232975612	4.19	4.816827113	0.468645409	12.06196039	75	28.24	0.719070557
3NB1	5.635612	623.0846	1.0658703	0.28248429	2.092691524	4.3	4.560991711	0.497923485	10.73276876	97.5	16.835	0.740816958
3NB2	5.57724	621.7603	1.0178451	0.278337427	1.09382107	4.19	5.474350906	0.460760547	12.28305258	85	31.375	0.392983826
