	Year	CK1	CK2	CK3	N1	N2	N3	NS1	NS2	NS3	NSM1	NSM2	NSM3	NB1	NB2	NB3
Niche breadth	0	14.23059	18.83467	21.34251	16.94815	12.76715	15.61891	20.05168	18.3493	11.2142	24.43269	14.2374	14.32843	15.61891	20.05168	18.3493
Niche breadth	1	23.91147	27.59783	26.78615	23.69718	24.43269	14.2374	14.32843	36.12146	28.97549	40.75559	33.23662	20.94725	31.78062	45.50802	36.77664
Niche breadth	2	6.416975	10.68966	9.852447	4.687952	4.692316	5.743409	8.170268	11.2142	10.6914	25.44871	35.85487	34.63088	21.41566	23.40291	22.26329
Niche breadth	3	23.84949	14.96039	16.03278	20.05168	18.3493	12.07915	50.15447	54.28524	35.48721	58.21964	52.86365	47.13158	63.94717	55.16709	62.89836
Niche breadth	4	13.81613	7.711075	5.369774	15.61891	7.964557	7.827145	37.09552	43.31725	33.57877	82.87441	74.73905	35.32903	32.10807	32.20083	34.69727
Niche breadth	5	21.34251	18.49186	14.00877	24.51484	16.94815	12.76715	36.44589	39.82689	39.07939	57.31034	58.55526	78.7611	28.8711	35.51208	30.57642
Niche breadth	6	12.68158	8.688382	8.732364	19.37739	12.95933	16.0577	63.21886	37.67543	37.35371	39.36731	40.17196	47.57051	42.6364	41.71003	41.13957
Niche breadth	7	26.66554	22.79874	26.2675	37.41048	35.67543	35.24726	87.16658	88.50793	93.30517	61.39792	63.85204	61.35602	61.29099	72.4277	89.20641
Niche overlap	0	0.4442	0.4073	0.4567	0.5158	0.4875	0.5139	0.4796	0.4943	0.4555	0.4699	0.4831	0.4556	0.467	0.4555	0.4711
Niche overlap	1	0.4995	0.5139	0.4627	0.4931	0.4556	0.5237	0.5235	0.4839	0.4767	0.4884	0.4511	0.5237	0.4363	0.4776	0.4874
Niche overlap	2	0.5233	0.4368	0.5693	0.5782	0.4965	0.567	0.5408	0.567	0.5017	0.6035	0.5913	0.6187	0.5091	0.5022	0.6037
Niche overlap	3	0.5062	0.4511	0.5411	0.5325	0.5372	0.4954	0.6019	0.6187	0.5446	0.6008	0.6149	0.5868	0.5321	0.5446	0.5235
Niche overlap	4	0.5394	0.4487	0.5693	0.4965	0.5439	0.4211	0.4611	0.4965	0.5439	0.501	0.5637	0.4839	0.4992	0.5014	0.4849
Niche overlap	5	0.5159	0.5017	0.5312	0.5372	0.4511	0.5394	0.5868	0.5411	0.6178	0.5652	0.5972	0.5443	0.5263	0.5037	0.5649
Niche overlap	6	0.5187	0.5446	0.5159	0.567	0.5017	0.5312	0.5617	0.5871	0.5446	0.6787	0.6438	0.6799	0.5718	0.6008	0.5408
Niche overlap	7	0.5865	0.4414	0.5187	0.4954	0.5062	0.4693	0.4994	0.5782	0.5615	0.5549	0.5878	0.6877	0.5199	0.5443	0.5652
